MUNICÍPIO - TOM;UF
GUAJARÁ-MIRIM;RO
ALTO ALEGRE DOS PARECIS;RO
PORTO VELHO;RO
BURITIS;RO
JI-PARANÁ;RO
CHUPINGUAIA;RO
ARIQUEMES;RO
CUJUBIM;RO
CACOAL;RO
NOVA UNIÃO;RO
PIMENTA BUENO;RO
PARECIS;RO
VILHENA;RO
PIMENTEIRAS DO OESTE;RO
JARU;RO
PRIMAVERA DE RONDÔNIA;RO
OURO PRETO DO OESTE;RO
SÃO FELIPE D'OESTE;RO
PRESIDENTE MÉDICI;RO
SÃO FRANCISCO DO GUAPORÉ;RO
COSTA MARQUES;RO
TEIXEIRÓPOLIS;RO
COLORADO DO OESTE;RO
VALE DO ANARI;RO
ESPIGÃO D'OESTE;RO
AMAJARI;RR
CEREJEIRAS;RO
CANTÁ;RR
ROLIM DE MOURA;RO
CAROEBE;RR
CALDAZINHA;GO
IRACEMA;RR
ALTA FLORESTA D'OESTE;RO
PACARAIMA;RR
ALVORADA D'OESTE;RO
RORAINÓPOLIS;RR
CABIXI;RO
UIRAMUTÃ;RR
MACHADINHO D'OESTE;RO
ANAPU;PA
NOVA BRASILÂNDIA D'OESTE;RO
BANNACH;PA
SANTA LUZIA D'OESTE;RO
BELTERRA;PA
SÃO MIGUEL DO GUAPORÉ;RO
CACHOEIRA DO PIRIÁ;PA
Nova Mamoré;RO
CANAÃ DOS CARAJÁS;PA
JESÚPOLIS;GO
CURUÁ;PA
PROFESSOR JAMIL;GO
FLORESTA DO ARAGUAIA;PA
SANTO ANTÔNIO DE GOIÁS;GO
MARITUBA;PA
COCALZINHO DE GOIÁS;GO
NOVA IPIXUNA;PA
TEREZÓPOLIS DE GOIÁS;GO
PIÇARRA;PA
UIRAPURU;GO
PLACAS;PA
BURITINÓPOLIS;GO
QUATIPURU;PA
BURITI DE GOIÁS;GO
SÃO JOÃO DA PONTA;PA
GUARAÍTA;GO
SAPUCAIA;PA
VILA BOA;GO
TRACUATEUA;PA
INACIOLÂNDIA;GO
VITÓRIA DO JARI;AP
APARECIDA DO RIO DOCE;GO
AGUIARNÓPOLIS;TO
CHAPADÃO DO CÉU;GO
BANDEIRANTES DO TOCANTINS;TO
PEROLÂNDIA;GO
BARRA DO OURO;TO
CIDADE OCIDENTAL;GO
CHAPADA DE AREIA;TO
MONTIVIDIU DO NORTE;GO
CHAPADA DA NATIVIDADE;TO
CASTELÂNDIA;GO
CRIXÁS DO TOCANTINS;TO
SANTO ANTÔNIO DA BARRA;GO
IPUEIRAS;TO
ALTO HORIZONTE;GO
LAVANDEIRA;TO
NOVA IGUAÇU DE GOIÁS;GO
LUZINÓPOLIS;TO
COTRIGUAÇU;MT
MONTE SANTO DO TOCANTINS;TO
PLANALTO DA SERRA;MT
OLIVEIRA DE FÁTIMA;TO
SÃO PEDRO DA CIPA;MT
PUGMIL;TO
PONTAL DO ARAGUAIA;MT
SANTA RITA DO TOCANTINS;TO
QUERÊNCIA;MT
SANTA TEREZINHA DO TOCANTINS;TO
RIBEIRÃOZINHO;MT
TALISMÃ;TO
PORTO ESTRELA;MT
TUPIRAMA;TO
NOVA MARILÂNDIA;MT
ÁGUA DOCE DO MARANHÃO;MA
BRASILÉIA;AC
ALTO ALEGRE DO MARANHÃO;MA
CRUZEIRO DO SUL;AC
ALTO ALEGRE DO PINDARÉ;MA
MÂNCIO LIMA;AC
AMAPÁ DO MARANHÃO;MA
NOVA MARINGÁ;MT
APICUM-AÇU;MA
FEIJÓ;AC
ARAGUANÃ;MA
SANTO AFONSO;MT
BACABEIRA;MA
NOVA BANDEIRANTES;MT
BACURITUBA;MA
NOVA MONTE VERDE;MT
BELÁGUA;MA
NOVA GUARITA;MT
BELA VISTA DO MARANHÃO;MA
SANTA CARMEM;MT
BERNARDO DO MEARIM;MA
TABAPORÃ;MT
BOA VISTA DO GURUPI;MA
ALTO BOA VISTA;MT
BOM JESUS DAS SELVAS;MA
CANABRAVA DO NORTE;MT
BOM LUGAR;MA
CONFRESA;MT
BREJO DE AREIA;MA
SÃO JOSÉ DO XINGU;MT
BURITICUPU;MA
GLÓRIA D'OESTE;MT
BURITIRANA;MA
LAMBARI D'OESTE;MT
CACHOEIRA GRANDE;MA
RIO BRANCO;AC
CAMPESTRE DO MARANHÃO;MA
ALCINÓPOLIS;MS
CAPINZAL DO NORTE;MA
NOVA ALVORADA DO SUL;MS
CENTRAL DO MARANHÃO;MA
SENA MADUREIRA;AC
CENTRO DO GUILHERME;MA
TARAUACÁ;AC
CENTRO NOVO DO MARANHÃO;MA
XAPURI;AC
CIDELÂNDIA;MA
PLÁCIDO DE CASTRO;AC
CONCEIÇÃO DO LAGO-AÇU;MA
SENADOR GUIOMARD;AC
DAVINÓPOLIS;MA
MANOEL URBANO;AC
FEIRA NOVA DO MARANHÃO;MA
ASSIS BRASIL;AC
FERNANDO FALCÃO;MA
NOVO HORIZONTE DO SUL;MS
FORMOSA DA SERRA NEGRA;MA
JAPORÃ;MS
GOVERNADOR EDISON LOBÃO;MA
LAGUNA CARAPÃ;MS
GOVERNADOR LUIZ ROCHA;MA
ANGICO;TO
GOVERNADOR NEWTON BELLO;MA
ARAGOMINAS;TO
GOVERNADOR NUNES FREIRE;MA
ARAGUANÃ;TO
IGARAPÉ DO MEIO;MA
CACHOEIRINHA;TO
ITAIPAVA DO GRAJAÚ;MA
CAMPOS LINDOS;TO
ITINGA DO MARANHÃO;MA
CARMOLÂNDIA;TO
JATOBÁ;MA
CARRASCO BONITO;TO
JENIPAPO DOS VIEIRAS;MA
DARCINÓPOLIS;TO
JUNCO DO MARANHÃO;MA
ESPERANTINA;TO
LAGOA DO MATO;MA
MAURILÂNDIA DO TOCANTINS;TO
LAGO DOS RODRIGUES;MA
PALMEIRAS DO TOCANTINS;TO
LAGOA GRANDE DO MARANHÃO;MA
MURICILÂNDIA;TO
LAJEADO NOVO;MA
PALMEIRANTE;TO
MARACAÇUMÉ;MA
PAU D'ARCO;TO
MARAJÁ DO SENA;MA
RIACHINHO;TO
MARANHÃOZINHO;MA
SANTA FÉ DO ARAGUAIA;TO
MATÕES DO NORTE;MA
SÃO BENTO DO TOCANTINS;TO
MILAGRES DO MARANHÃO;MA
SÃO MIGUEL DO TOCANTINS;TO
NOVA COLINAS;MA
NOVO AIRÃO;AM
NOVA OLINDA DO MARANHÃO;MA
ANORI;AM
OLINDA NOVA DO MARANHÃO;MA
ATALAIA DO NORTE;AM
PAULINO NEVES;MA
AUTAZES;AM
PEDRO DO ROSÁRIO;MA
BARCELOS;AM
PERITORÓ;MA
BARREIRINHA;AM
PORTO RICO DO MARANHÃO;MA
BENJAMIN CONSTANT;AM
PRESIDENTE MÉDICI;MA
BOCA DO ACRE;AM
PRESIDENTE SARNEY;MA
BORBA;AM
RAPOSA;MA
CANUTAMA;AM
RIBAMAR FIQUENE;MA
CARAUARI;AM
SANTA FILOMENA DO MARANHÃO;MA
CAREIRO;AM
SANTANA DO MARANHÃO;MA
COARI;AM
SANTO AMARO DO MARANHÃO;MA
CODAJÁS;AM
SÃO DOMINGOS DO AZEITÃO;MA
EIRUNEPÉ;AM
SÃO FRANCISCO DO BREJÃO;MA
ENVIRA;AM
SÃO JOÃO DO CARÚ;MA
FONTE BOA;AM
SÃO JOÃO DO PARAÍSO;MA
HUMAITÁ;AM
SÃO JOÃO DO SOTER;MA
SANTA ISABEL DO RIO NEGRO;AM
SÃO JOSÉ DOS BASÍLIOS;MA
IPIXUNA;AM
SÃO PEDRO DA ÁGUA BRANCA;MA
ITACOATIARA;AM
SÃO PEDRO DOS CRENTES;MA
ITAPIRANGA;AM
SÃO RAIMUNDO DO DOCA BEZERRA;MA
JAPURÁ;AM
SÃO ROBERTO;MA
JURUÁ;AM
SATUBINHA;MA
JUTAÍ;AM
SENADOR ALEXANDRE COSTA;MA
LÁBREA;AM
SENADOR LA ROCQUE;MA
MANACAPURU;AM
SERRANO DO MARANHÃO;MA
MANAUS;AM
SUCUPIRA DO RIACHÃO;MA
MANICORÉ;AM
TRIZIDELA DO VALE;MA
MARAÃ;AM
TUFILÂNDIA;MA
MAUÉS;AM
TURILÂNDIA;MA
NHAMUNDÁ;AM
VILA NOVA DOS MARTÍRIOS;MA
NOVA OLINDA DO NORTE;AM
ACAUÃ;PI
NOVO ARIPUANÃ;AM
ALVORADA DO GURGUÉIA;PI
PARINTINS;AM
ASSUNÇÃO DO PIAUÍ;PI
PAUINI;AM
BARRA D'ALCÂNTARA;PI
SANTO ANTÔNIO DO IÇÁ;AM
BELA VISTA DO PIAUÍ;PI
SÃO PAULO DE OLIVENÇA;AM
BELÉM DO PIAUÍ;PI
SILVES;AM
BETÂNIA DO PIAUÍ;PI
TAPAUÁ;AM
BOA HORA;PI
TEFÉ;AM
BOQUEIRÃO DO PIAUÍ;PI
SÃO GABRIEL DA CACHOEIRA;AM
BREJO DO PIAUÍ;PI
URUCARÁ;AM
CAJAZEIRAS DO PIAUÍ;PI
URUCURITUBA;AM
CAJUEIRO DA PRAIA;PI
ALVARÃES;AM
CAMPO ALEGRE DO FIDALGO;PI
AMATURÁ;AM
CAMPO GRANDE DO PIAUÍ;PI
ANAMÃ;AM
CAMPO LARGO DO PIAUÍ;PI
BERURI;AM
CAPITÃO GERVÁSIO OLIVEIRA;PI
BOA VISTA DO RAMOS;AM
CARAÚBAS DO PIAUÍ;PI
CAAPIRANGA;AM
CARIDADE DO PIAUÍ;PI
BOA VISTA;RR
CAXINGÓ;PI
CARACARAÍ;RR
COCAL DE TELHA;PI
ALTO ALEGRE;RR
COCAL DOS ALVES;PI
BONFIM;RR
CURRAIS;PI
MUCAJAÍ;RR
CURRALINHOS;PI
NORMANDIA;RR
CURRAL NOVO DO PIAUÍ;PI
SÃO JOÃO DA BALIZA;RR
FLORESTA DO PIAUÍ;PI
SÃO LUIZ;RR
FRANCISCO MACEDO;PI
MATEIROS;TO
GEMINIANO;PI
GUARIBAS;PI
NOVO JARDIM;TO
ILHA GRANDE;PI
RIO DA CONCEIÇÃO;TO
JATOBÁ DO PIAUÍ;PI
TAIPAS DO TOCANTINS;TO
JOÃO COSTA;PI
CARIRI DO TOCANTINS;TO
JOCA MARQUES;PI
JAÚ DO TOCANTINS;TO
JUAZEIRO DO PIAUÍ;PI
SANDOLÂNDIA;TO
JÚLIO BORGES;PI
SÃO SALVADOR DO TOCANTINS;TO
JUREMA;PI
SUCUPIRA;TO
LAGOINHA DO PIAUÍ;PI
ABREULÂNDIA;TO
LAGOA DE SÃO FRANCISCO;PI
BRASILÂNDIA DO TOCANTINS;TO
LAGOA DO PIAUÍ;PI
BOM JESUS DO TOCANTINS;TO
LAGOA DO SÍTIO;PI
CENTENÁRIO;TO
MADEIRO;PI
FORTALEZA DO TABOCÃO;TO
MASSAPÊ DO PIAUÍ;PI
ITAPIRATINS;TO
MILTON BRANDÃO;PI
JUARINA;TO
MORRO CABEÇA NO TEMPO;PI
LAJEADO;TO
MORRO DO CHAPÉU DO PIAUÍ;PI
LAGOA DO TOCANTINS;TO
MURICI DOS PORTELAS;PI
PIRAQUÊ;TO
NOSSA SENHORA DE NAZARÉ;PI
RECURSOLÂNDIA;TO
NOVO SANTO ANTÔNIO;PI
RIO DOS BOIS;TO
OLHO D'ÁGUA DO PIAUÍ;PI
SANTA MARIA DO TOCANTINS;TO
PAJEÚ DO PIAUÍ;PI
SÃO FÉLIX DO TOCANTINS;TO
PAQUETÁ;PI
TUPIRATINS;TO
PAVUSSU;PI
LAGOA DA CONFUSÃO;TO
PEDRO LAURENTINO;PI
SANTA BÁRBARA DO PARÁ;PA
NOVA SANTA RITA;PI
SANTA LUZIA DO PARÁ;PA
PORTO ALEGRE DO PIAUÍ;PI
TERRA ALTA;PA
RIACHO FRIO;PI
ABEL FIGUEIREDO;PA
RIBEIRA DO PIAUÍ;PI
ELDORADO DOS CARAJÁS;PA
SANTO ANTÔNIO DOS MILAGRES;PI
PALESTINA DO PARÁ;PA
SÃO FRANCISCO DE ASSIS DO PIAUÍ;PI
SÃO DOMINGOS DO ARAGUAIA;PA
SÃO GONÇALO DO GURGUÉIA;PI
ÁGUA AZUL DO NORTE;PA
SÃO JOÃO DA FRONTEIRA;PI
CUMARU DO NORTE;PA
SÃO JOÃO DA VARJOTA;PI
PAU D'ARCO;PA
SÃO JOÃO DO ARRAIAL;PI
AURORA DO PARÁ;PA
SÃO LUIS DO PIAUÍ;PI
NOVA ESPERANÇA DO PIRIÁ;PA
SÃO MIGUEL DA BAIXA GRANDE;PI
SÃO JOÃO DE PIRABAS;PA
SÃO MIGUEL DO FIDALGO;PI
TAILÂNDIA;PA
SEBASTIÃO BARROS;PI
TUCUMÃ;PA
SEBASTIÃO LEAL;PI
URUARÁ;PA
SUSSUAPARA;PI
ABAETETUBA;PA
TAMBORIL DO PIAUÍ;PI
ACARÁ;PA
TANQUE DO PIAUÍ;PI
AFUÁ;PA
VERA MENDES;PI
ALENQUER;PA
VILA NOVA DO PIAUÍ;PI
ALMEIRIM;PA
WALL FERRAZ;PI
ALTAMIRA;PA
BODÓ;RN
ANAJÁS;PA
CAIÇARA DO NORTE;RN
ANANINDEUA;PA
FERNANDO PEDROZA;RN
AUGUSTO CORRÊA;PA
ITAJÁ;RN
AVEIRO;PA
MAJOR SALES;RN
BAGRE;PA
RIO DO FOGO;RN
BAIÃO;PA
SANTA MARIA;RN
BARCARENA;PA
PORTO DO MANGUE;RN
BELÉM;PA
TIBAU;RN
BENEVIDES;PA
SÃO MIGUEL DO GOSTOSO;RN
BONITO;PA
SERRINHA DOS PINTOS;RN
BRAGANÇA;PA
TENENTE LAURENTINO CRUZ;RN
BREVES;PA
TRIUNFO POTIGUAR;RN
BUJARU;PA
VENHA-VER;RN
CACHOEIRA DO ARARI;PA
ALCANTIL;PB
CAMETÁ;PA
ALGODÃO DE JANDAÍRA;PB
CAPANEMA;PA
AMPARO;PB
CAPITÃO POÇO;PA
APARECIDA;PB
CASTANHAL;PA
AREIA DE BARAÚNAS;PB
CHAVES;PA
ASSUNÇÃO;PB
COLARES;PA
BARAÚNA;PB
CONCEIÇÃO DO ARAGUAIA;PA
BARRA DE SANTANA;PB
CURRALINHO;PA
BERNARDINO BATISTA;PB
CURUÇÁ;PA
BOA VISTA;PB
FARO;PA
CACIMBAS;PB
GURUPÁ;PA
CAJAZEIRINHAS;PB
IGARAPÉ-AÇU;PA
CAPIM;PB
IGARAPÉ-MIRI;PA
CARAÚBAS;PB
INHANGAPI;PA
CASSERENGUE;PB
IRITUIA;PA
CATURITÉ;PB
ITAITUBA;PA
COXIXOLA;PB
ITUPIRANGA;PA
CUITÉ DE MAMANGUAPE;PB
JACUNDÁ;PA
CURRAL DE CIMA;PB
JURUTI;PA
DAMIÃO;PB
LIMOEIRO DO AJURU;PA
GADO BRAVO;PB
MAGALHÃES BARATA;PA
LOGRADOURO;PB
MARABÁ;PA
MARCAÇÃO;PB
MARACANÃ;PA
MARIZÓPOLIS;PB
MARAPANIM;PA
MATINHAS;PB
MELGAÇO;PA
MATO GROSSO;PB
MOCAJUBA;PA
MATURÉIA;PB
MOJU;PA
PARARI;PB
MONTE ALEGRE;PA
POÇO DANTAS;PB
MUANÁ;PA
POÇO DE JOSÉ DE MOURA;PB
NOVA TIMBOTEUA;PA
PEDRO RÉGIS;PB
ÓBIDOS;PA
RIACHÃO;PB
OEIRAS DO PARÁ;PA
RIACHÃO DO BACAMARTE;PB
ORIXIMINÁ;PA
RIACHÃO DO POÇO;PB
OURÉM;PA
RIACHO DE SANTO ANTÔNIO;PB
PARAGOMINAS;PA
SANTA CECÍLIA;PB
PEIXE-BOI;PA
SANTA INÊS;PB
PONTA DE PEDRAS;PA
JOCA CLAUDINO;PB
PORTEL;PA
SANTO ANDRÉ;PB
PORTO DE MOZ;PA
SÃO BENTINHO;PB
PRAINHA;PA
SÃO DOMINGOS DO CARIRI;PB
PRIMAVERA;PA
SÃO DOMINGOS;PB
SALINÓPOLIS;PA
SÃO FRANCISCO;PB
SALVATERRA;PA
SÃO JOSÉ DOS RAMOS;PB
SANTA CRUZ DO ARARI;PA
SÃO JOSÉ DE PRINCESA;PB
SANTA ISABEL DO PARÁ;PA
SÃO JOSÉ DO BREJO DO CRUZ;PB
SANTA MARIA DO PARÁ;PA
SERTÃOZINHO;PB
SANTANA DO ARAGUAIA;PA
SOBRADO;PB
SANTARÉM;PA
SOSSÊGO;PB
SANTARÉM NOVO;PA
TENÓRIO;PB
SANTO ANTÔNIO DO TAUÁ;PA
VIEIRÓPOLIS;PB
SÃO CAETANO DE ODIVELAS;PA
ZABELÊ;PB
SÃO DOMINGOS DO CAPIM;PA
ARAÇOIABA;PE
SÃO FÉLIX DO XINGU;PA
CASINHAS;PE
SÃO FRANCISCO DO PARÁ;PA
JAQUEIRA;PE
SÃO JOÃO DO ARAGUAIA;PA
JATOBÁ;PE
SÃO MIGUEL DO GUAMÁ;PA
LAGOA GRANDE;PE
SÃO SEBASTIÃO DA BOA VISTA;PA
MANARI;PE
SENADOR JOSÉ PORFÍRIO;PA
SANTA FILOMENA;PE
SOURE;PA
TAMANDARÉ;PE
TOMÉ-AÇU;PA
CAMPESTRE;AL
TUCURUÍ;PA
JEQUIÁ DA PRAIA;AL
VIGIA;PA
ALTO CAPARAÓ;MG
VISEU;PA
ANGELÂNDIA;MG
REDENÇÃO;PA
ARICANDUVA;MG
RIO MARIA;PA
BERIZAL;MG
XINGUARA;PA
BONITO DE MINAS;MG
RONDON DO PARÁ;PA
BRASILÂNDIA DE MINAS;MG
BOM JESUS DO TOCANTINS;PA
BUGRE;MG
BREJO GRANDE DO ARAGUAIA;PA
CABECEIRA GRANDE;MG
CONCÓRDIA DO PARÁ;PA
CAMPO AZUL;MG
CURIONÓPOLIS;PA
CANTAGALO;MG
DOM ELISEU;PA
CATAS ALTAS;MG
GARRAFÃO DO NORTE;PA
CATUTI;MG
MÃE DO RIO;PA
CHAPADA GAÚCHA;MG
MEDICILÂNDIA;PA
CÔNEGO MARINHO;MG
OURILÂNDIA DO NORTE;PA
CONFINS;MG
PACAJÁ;PA
CÓRREGO FUNDO;MG
PARAUAPEBAS;PA
CRISÓLITA;MG
RURÓPOLIS;PA
CUPARAQUE;MG
SANTA MARIA DAS BARREIRAS;PA
CURRAL DE DENTRO;MG
AMAPÁ;AP
DELTA;MG
CALÇOENE;AP
DIVISA ALEGRE;MG
MACAPÁ;AP
DOM BOSCO;MG
MAZAGÃO;AP
FRANCISCÓPOLIS;MG
OIAPOQUE;AP
FREI LAGONEGRO;MG
FERREIRA GOMES;AP
FRUTA DE LEITE;MG
LARANJAL DO JARI;AP
GAMELEIRAS;MG
SANTANA;AP
GLAUCILÂNDIA;MG
TARTARUGALZINHO;AP
GOIABEIRA;MG
SÃO GERALDO DO ARAGUAIA;PA
GOIANÁ;MG
IPIXUNA DO PARÁ;PA
GUARACIAMA;MG
ULIANÓPOLIS;PA
IBIRACATU;MG
BREU BRANCO;PA
IMBÉ DE MINAS;MG
GOIANÉSIA DO PARÁ;PA
INDAIABIRA;MG
NOVO REPARTIMENTO;PA
JAPONVAR;MG
JACAREACANGA;PA
JENIPAPO DE MINAS;MG
NOVO PROGRESSO;PA
JOSÉ GONÇALVES DE MINAS;MG
TRAIRÃO;PA
JOSÉ RAYDAN;MG
TERRA SANTA;PA
JOSENÓPOLIS;MG
BRASIL NOVO;PA
JUVENÍLIA;MG
VITÓRIA DO XINGU;PA
LEME DO PRADO;MG
ACRELÂNDIA;AC
LUISBURGO;MG
BUJARI;AC
LUISLÂNDIA;MG
CAPIXABA;AC
MÁRIO CAMPOS;MG
PORTO ACRE;AC
MARTINS SOARES;MG
EPITACIOLÂNDIA;AC
MIRAVÂNIA;MG
JORDÃO;AC
MONTE FORMOSO;MG
MARECHAL THAUMATURGO;AC
NAQUE;MG
PORTO WALTER;AC
NATALÂNDIA;MG
RODRIGUES ALVES;AC
NINHEIRA;MG
SANTA ROSA DO PURUS;AC
NOVA BELÉM;MG
PEDRA BRANCA DO AMAPARI;AP
NOVA PORTEIRINHA;MG
SERRA DO NAVIO;AP
NOVO ORIENTE DE MINAS;MG
CUTIAS;AP
NOVORIZONTE;MG
ITAUBAL;AP
OLHOS-D'ÁGUA;MG
PORTO GRANDE;AP
ORATÓRIOS;MG
PRACUÚBA;AP
ORIZÂNIA;MG
ALTO PARAÍSO;RO
PADRE CARVALHO;MG
CACAULÂNDIA;RO
PAI PEDRO;MG
CAMPO NOVO DE RONDÔNIA;RO
PATIS;MG
CANDEIAS DO JAMARI;RO
PEDRA BONITA;MG
ITAPUÃ DO OESTE;RO
PERIQUITO;MG
MONTE NEGRO;RO
PIEDADE DE CARATINGA;MG
RIO CRESPO;RO
PINGO D'AGUA;MG
NOVO HORIZONTE DO OESTE;RO
PINTÓPOLIS;MG
CASTANHEIRAS;RO
PONTO CHIQUE;MG
GOVERNADOR JORGE TEIXEIRA;RO
PONTO DOS VOLANTES;MG
MINISTRO ANDREAZZA;RO
REDUTO;MG
MIRANTE DA SERRA;RO
ROSÁRIO DA LIMEIRA;MG
SERINGUEIRAS;RO
SANTA BÁRBARA DO MONTE VERDE;MG
AFONSO CUNHA;MA
SANTA CRUZ DE MINAS;MG
ALCÂNTARA;MA
SANTA CRUZ DE SALINAS;MG
ALDEIAS ALTAS;MA
SANTA HELENA DE MINAS;MG
ALTAMIRA DO MARANHÃO;MA
SANTO ANTÔNIO DO RETIRO;MG
ALTO PARNAÍBA;MA
SÃO DOMINGOS DAS DORES;MG
AMARANTE DO MARANHÃO;MA
SÃO FÉLIX DE MINAS;MG
ANAJATUBA;MA
SÃO GERALDO DO BAIXIO;MG
ANAPURUS;MA
SÃO JOÃO DA LAGOA;MG
ARAIOSES;MA
SÃO JOÃO DAS MISSÕES;MG
ARARI;MA
SÃO JOÃO DO PACUÍ;MG
AXIXÁ;MA
SÃO JOAQUIM DE BICAS;MG
BACABAL;MA
SÃO JOSÉ DA BARRA;MG
BACURI;MA
SÃO SEBASTIÃO DA VARGEM ALEGRE;MG
BALSAS;MA
SÃO SEBASTIÃO DO ANTA;MG
BARÃO DE GRAJAÚ;MA
SARZEDO;MG
BARRA DO CORDA;MA
SETUBINHA;MG
BARREIRINHAS;MA
SEM-PEIXE;MG
BENEDITO LEITE;MA
SERRANÓPOLIS DE MINAS;MG
BEQUIMÃO;MA
TAPARUBA;MG
BREJO;MA
TOCOS DO MOJI;MG
BURITI;MA
UNIÃO DE MINAS;MG
BURITI BRAVO;MA
URUANA DE MINAS;MG
CAJAPIÓ;MA
VARGEM ALEGRE;MG
CAJARI;MA
VARGEM GRANDE DO RIO PARDO;MG
CÂNDIDO MENDES;MA
VARJÃO DE MINAS;MG
CANTANHEDE;MA
VERDELÂNDIA;MG
CAROLINA;MA
VEREDINHA;MG
CARUTAPERA;MA
VERMELHO NOVO;MG
CAXIAS;MA
BREJETUBA;ES
CEDRAL;MA
MARATAÍZES;ES
CHAPADINHA;MA
PONTO BELO;ES
CODÓ;MA
SÃO ROQUE DO CANAÃ;ES
COELHO NETO;MA
SOORETAMA;ES
COLINAS;MA
VILA VALÉRIO;ES
COROATÁ;MA
Armação dos Búzios;RJ
CURURUPU;MA
CARAPEBUS;RJ
DOM PEDRO;MA
IGUABA GRANDE;RJ
DUQUE BACELAR;MA
MACUCO;RJ
ESPERANTINÓPOLIS;MA
PINHEIRAL;RJ
FORTALEZA DOS NOGUEIRAS;MA
PORTO REAL;RJ
FORTUNA;MA
SÃO FRANCISCO DE ITABAPOANA;RJ
GODOFREDO VIANA;MA
SÃO JOSÉ DE UBÁ;RJ
GONÇALVES DIAS;MA
SEROPÉDICA;RJ
GOVERNADOR ARCHER;MA
TANGUÁ;RJ
GOVERNADOR EUGÊNIO BARROS;MA
ARCO-ÍRIS;SP
GRAÇA ARANHA;MA
BREJO ALEGRE;SP
GRAJAÚ;MA
CANAS;SP
GUIMARÃES;MA
FERNÃO;SP
HUMBERTO DE CAMPOS;MA
GAVIÃO PEIXOTO;SP
ICATU;MA
IPIGUÁ;SP
IGARAPÉ GRANDE;MA
JUMIRIM;SP
IMPERATRIZ;MA
NANTES;SP
SÃO LUÍS GONZAGA DO MARANHÃO;MA
NOVA CASTILHO;SP
ITAPECURU MIRIM;MA
OUROESTE;SP
JOÃO LISBOA;MA
PAULISTÂNIA;SP
JOSELÂNDIA;MA
PRACINHA;SP
LAGO DA PEDRA;MA
PRATÂNIA;SP
LAGO DO JUNCO;MA
QUADRA;SP
LAGO VERDE;MA
RIBEIRÃO DOS ÍNDIOS;SP
LIMA CAMPOS;MA
SANTA CRUZ DA ESPERANÇA;SP
LORETO;MA
SANTA SALETE;SP
LUÍS DOMINGUES;MA
TAQUARAL;SP
MAGALHÃES DE ALMEIDA;MA
TRABIJU;SP
MATA ROMA;MA
VITÓRIA BRASIL;SP
MATINHA;MA
ARAPUÃ;PR
MATÕES;MA
ARIRANHA DO IVAÍ;PR
MIRADOR;MA
Bela Vista da Caroba;PR
MIRINZAL;MA
BOA VENTURA DE SÃO ROQUE;PR
MONÇÃO;MA
BOM JESUS DO SUL;PR
MONTES ALTOS;MA
CAMPINA DO SIMÃO;PR
MORROS;MA
CAMPO MAGRO;PR
NINA RODRIGUES;MA
CARAMBEÍ;PR
NOVA IORQUE;MA
CORONEL DOMINGOS SOARES;PR
OLHO D'ÁGUA DAS CUNHÃS;MA
CRUZMALTINA;PR
PAÇO DO LUMIAR;MA
ESPERANÇA NOVA;PR
PALMEIRÂNDIA;MA
ESPIGÃO ALTO DO IGUAÇU;PR
PARAIBANO;MA
FERNANDES PINHEIRO;PR
PARNARAMA;MA
FOZ DO JORDÃO;PR
PASSAGEM FRANCA;MA
GOIOXIM;PR
PASTOS BONS;MA
GUAMIRANGA;PR
PEDREIRAS;MA
IMBAÚ;PR
PENALVA;MA
MANFRINÓPOLIS;PR
PERI MIRIM;MA
MARQUINHO;PR
PINDARE MIRIM;MA
PEROBAL;PR
PINHEIRO;MA
PONTAL DO PARANÁ;PR
PIO XII;MA
PORTO BARREIRO;PR
PIRAPEMAS;MA
PRADO FERREIRA;PR
POÇÃO DE PEDRAS;MA
QUARTO CENTENÁRIO;PR
PORTO FRANCO;MA
RESERVA DO IGUAÇU;PR
PRESIDENTE DUTRA;MA
RIO BRANCO DO IVAÍ;PR
PRESIDENTE JUSCELINO;MA
SERRANÓPOLIS DO IGUAÇU;PR
PRESIDENTE VARGAS;MA
TAMARANA;PR
PRIMEIRA CRUZ;MA
ALTO BELA VISTA;SC
RIACHÃO;MA
BALNEÁRIO ARROIO DO SILVA;SC
SÃO JOSÉ DE RIBAMAR;MA
BALNEÁRIO GAIVOTA;SC
ROSÁRIO;MA
BANDEIRANTE;SC
SAMBAÍBA;MA
BARRA BONITA;SC
SANTA HELENA;MA
BELA VISTA DO TOLDO;SC
SANTA LUZIA;MA
BOCAINA DO SUL;SC
SANTA QUITÉRIA DO MARANHÃO;MA
BOM JESUS;SC
SANTA RITA;MA
BOM JESUS DO OESTE;SC
SANTO ANTÔNIO DOS LOPES;MA
BRUNÓPOLIS;SC
SÃO BENEDITO DO RIO PRETO;MA
CAPÃO ALTO;SC
SÃO BENTO;MA
CHAPADÃO DO LAGEADO;SC
SÃO BERNARDO;MA
CUNHATAÍ;SC
SÃO DOMINGOS DO MARANHÃO;MA
ENTRE RIOS;SC
SÃO FÉLIX DE BALSAS;MA
ERMO;SC
SÃO FRANCISCO DO MARANHÃO;MA
FLOR DO SERTÃO;SC
SÃO JOÃO BATISTA;MA
FREI ROGÉRIO;SC
SÃO JOÃO DOS PATOS;MA
IBIAM;SC
SÃO LUÍS;MA
IOMERÊ;SC
SÃO MATEUS DO MARANHÃO;MA
JUPIÁ;SC
